seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,0.6666666666666666,0.6666666666666666,1.0,0.7727272727272727,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.7777777777777777,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.7810260166456152
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,0.7307692307692307,0.7307692307692307,0.7615384615384616,0.7442472057856673,0.9230769230769231,0.9230769230769231,0.8846153846153846,0.9423076923076923,0.9846153846153847,0.9615384615384616,0.7307692307692308,0.9615384615384616,0.9956657866796315
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,0.9545454545454546,0.9545454545454546,0.9586776859504131,0.9546395633352156,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9772727272727273,0.9818181818181818,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9977605562796621
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.5782312925170068,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7857142857142857,0.9238095238095239,0.8571428571428572,0.7142857142857143,0.8571428571428571,0.9599522459227907
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
